Patients who have waited 12+ hrs from DTA to admission,Emergency admissions via A&E - Type 1,Emergency admissions via A&E - Type 2,Emergency admissions via A&E - Other A&E department,Other emergency admissions,Month,Year,Month,A&E attendances Type 1,A&E attendances Type 2,A&E attendances Other A&E Department,Total attendance,Attendances over 4hrs Type 1,Attendances over 4hrs Type 2,Attendances over 4hrs Other Department,Total Attendance over 4hrs,Patients who have waited 4-12 hs from DTA to admission
0,0,0,0,0,4/1/2018,2018,Apr,0,0,1538,1538,0,0,0,0,0
0,1292,0,0,305,4/1/2018,2018,Apr,4388,0,0,4388,82,0,0,82,0
13,3550,0,0,1583,4/1/2018,2018,Apr,9253,0,7121,16374,2387,0,52,2439,394
0,3552,0,0,858,8/1/2018,2018,Aug,7719,0,6392,14111,1545,0,10,1555,342
0,1388,0,0,948,8/1/2018,2018,Aug,4968,702,114,5784,591,0,0,591,62
0,857,0,0,277,8/1/2018,2018,Aug,3873,0,0,3873,62,0,0,62,0
0,2248,0,25,202,8/1/2018,2018,Aug,7880,0,254,8134,1607,0,0,1607,250
0,0,0,0,0,8/1/2018,2018,Aug,0,0,3844,3844,0,0,2,2,0
0,0,0,0,0,8/1/2018,2018,Aug,0,0,3190,3190,0,0,0,0,0
0,0,0,0,0,8/1/2018,2018,Aug,0,0,4884,4884,0,0,0,0,0
0,0,0,0,0,8/1/2018,2018,Aug,0,0,2930,2930,0,0,0,0,0
0,4989,0,0,67,8/1/2018,2018,Aug,15473,743,7184,23400,3433,2,73,3508,79
0,2155,0,0,612,8/1/2018,2018,Aug,7630,0,0,7630,214,0,0,214,13
1,7715,0,0,1793,8/1/2018,2018,Aug,25099,833,12650,38582,4820,7,51,4878,1512
0,3318,0,0,263,8/1/2018,2018,Aug,12181,0,0,12181,447,0,0,447,45
0,0,0,0,0,8/1/2018,2018,Aug,0,0,4436,4436,0,0,0,0,0
0,1908,0,0,237,8/1/2018,2018,Aug,6290,0,141,6431,819,0,0,819,65
0,0,0,0,0,8/1/2018,2018,Aug,0,0,1438,1438,0,0,0,0,0
0,0,0,0,0,8/1/2018,2018,Aug,0,0,2213,2213,0,0,0,0,0
0,0,0,0,0,8/1/2018,2018,Aug,0,0,2926,2926,0,0,0,0,0
0,870,0,0,266,8/1/2018,2018,Aug,3663,0,0,3663,48,0,0,48,0
34,2344,0,0,800,8/1/2018,2018,Aug,6559,0,11829,18388,3159,0,67,3226,890
0,2075,0,30,640,8/1/2018,2018,Aug,8635,0,782,9417,1109,0,3,1112,161
0,0,0,0,0,8/1/2018,2018,Aug,0,0,3147,3147,0,0,0,0,0
0,3440,0,111,1118,8/1/2018,2018,Aug,9826,0,996,10822,1479,0,10,1489,194
0,0,0,0,0,8/1/2018,2018,Aug,0,0,2569,2569,0,0,10,10,0
0,0,0,0,0,8/1/2018,2018,Aug,0,0,11459,11459,0,0,34,34,0
0,3379,28,0,414,8/1/2018,2018,Aug,13043,1164,0,14207,2827,7,0,2834,1082
0,0,0,0,0,8/1/2018,2018,Aug,0,0,1741,1741,0,0,10,10,0
0,0,0,0,0,8/1/2018,2018,Aug,0,0,4813,4813,0,0,7,7,0
0,3028,843,0,745,8/1/2018,2018,Aug,6297,1243,4739,12279,1586,0,12,1598,516
0,2842,0,0,1315,8/1/2018,2018,Aug,12311,0,0,12311,1089,0,0,1089,149
0,3373,0,19,596,8/1/2018,2018,Aug,9662,0,3552,13214,1550,0,2,1552,88
0,0,0,0,0,8/1/2018,2018,Aug,0,0,17436,17436,0,0,78,78,0
0,3809,0,0,255,8/1/2018,2018,Aug,16715,0,7517,24232,1073,0,19,1092,50
0,2075,0,0,910,8/1/2018,2018,Aug,5961,0,1574,7535,657,0,0,657,69
0,2835,39,0,756,8/1/2018,2018,Aug,8043,2200,2823,13066,1337,43,7,1387,148
0,0,0,0,0,8/1/2018,2018,Aug,0,0,3145,3145,0,0,2,2,2
0,0,0,0,0,8/1/2018,2018,Aug,0,0,1250,1250,0,0,0,0,0
